,stock,W,L,Data_Type,Month_type,Min_vol,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
0,APH,44,15,pos_change,m1,2.4579894647141476,0.7457627118644068,0,0.0,0,0.019672131147540985,0.6327868852459017,0.33934426229508197,2.2967213114754097,7.210102429828167
1,EVRG,44,14,pos_change,m1,1.66609512946696,0.7586206896551724,0,0.0,0,0.040983606557377046,0.05573770491803279,0.33934426229508197,0.6295081967213114,5.23629897832473
2,HUM,45,12,pos_change,m1,3.0146431205949953,0.7894736842105263,0,0.0,0,0.12950819672131147,0.9049180327868852,0.33934426229508197,3.442622950819672,11.304911702231234
3,CMI,49,9,pos_change,m1,2.43202210190278,0.8448275862068966,0,0.0,0,0.3704918032786885,0.6131147540983607,0.33934426229508197,3.2901639344262295,13.241009221470692
4,MDT,49,11,pos_change,m1,1.9460242004561334,0.8166666666666667,MDT,3201.0,23.51%,0.22459016393442624,0.21639344262295082,0.740983606557377,2.0639344262295083,8.66865325657732
5,CMCSA,48,10,pos_change,m1,2.454840913735662,0.8275862068965517,CMCSA,5354.0,23.94%,0.2639344262295082,0.6295081967213115,0.8032786885245902,3.4836065573770494,11.783236385931177
6,^GSPC,50,9,pos_change,m1,1.2735293789879762,0.847457627118644,0,0.0,0,0.38688524590163936,0.003278688524590164,0.33934426229508197,1.5098360655737706,7.075163216599866
7,WEC,52,8,pos_change,m1,1.8382183674480659,0.8666666666666667,0,0.0,0,0.5754098360655737,0.14098360655737704,0.33934426229508197,2.4885245901639346,11.94841938841243
8,BAC,51,6,pos_change,m1,2.1256848997156994,0.8947368421052632,BAC,116936.0,26.16%,0.7311475409836066,0.3770491803278688,0.9934426229508196,4.318032786885246,18.068321647583446
9,AZO,47,12,pos_change,m1,2.44912281538989,0.7966101694915254,0,0.0,0,0.13442622950819672,0.6229508196721312,0.33934426229508197,2.611475409836066,9.592397693610401
10,EXPD,44,16,pos_change,m1,2.179829228441623,0.7333333333333333,0,0.0,0,0.009836065573770493,0.42950819672131146,0.33934426229508197,1.657377049180328,5.994530378214462
11,WY,46,9,pos_change,m1,2.2291005541867963,0.8363636363636363,WY,6021.0,28.66%,0.3622950819672131,0.46557377049180326,0.8098360655737705,3.29344262295082,11.393180610288065
12,HBAN,49,6,pos_change,m1,2.258059741063559,0.8909090909090909,0,0.0,0,0.7163934426229508,0.4885245901639344,0.33934426229508197,3.9540983606557374,18.440821218685723
13,HES,50,5,pos_change,m1,2.8470824565536317,0.9090909090909091,HES,3381.0,40.84%,0.8229508196721311,0.8557377049180328,0.7475409836065574,5.783606557377048,28.470824565536308
14,XRAY,51,9,pos_change,m1,2.62268168443951,0.85,0,0.0,0,0.4344262295081967,0.7311475409836066,0.33934426229508197,3.836065573770492,14.861862878490555
15,MNST,47,13,pos_change,m1,2.834019246792411,0.7833333333333333,0,0.0,0,0.11147540983606558,0.8426229508196721,0.33934426229508197,3.2016393442622944,10.246069584557178
16,JPM,47,13,pos_change,m1,2.4705951736725473,0.7833333333333333,JPM,64391.0,21.40%,0.11147540983606558,0.6557377049180327,0.9770491803278688,3.2786885245901636,8.93215178173921
17,UNH,46,14,pos_change,m1,2.670647418981766,0.7666666666666667,UNH,6042.0,20.21%,0.06885245901639345,0.7573770491803279,0.8131147540983606,3.291803278688525,8.774984376654377
18,WRB,53,6,pos_change,m1,1.908095599776885,0.8983050847457628,0,0.0,0,0.7557377049180328,0.1901639344262295,0.33934426229508197,3.1770491803278693,16.854844464695827
19,IP,53,6,pos_change,m1,2.648677019780832,0.8983050847457628,0,0.0,0,0.7557377049180328,0.7508196721311475,0.33934426229508197,4.859016393442623,23.396647008064026
20,HSY,55,5,pos_change,m1,1.7393864263299872,0.9166666666666666,0,0.0,0,0.8704918032786885,0.09508196721311475,0.33934426229508197,3.2360655737704915,19.13325068962985
21,MXIM,46,14,pos_change,m1,2.7963210320589296,0.7666666666666667,0,0.0,0,0.06885245901639345,0.819672131147541,0.33934426229508197,3.004918032786885,9.187911962479342
22,SLB,47,11,pos_change,m1,2.4679764515789504,0.8103448275862069,SLB,11161.0,41.13%,0.17868852459016393,0.6459016393442623,0.8721311475409836,3.3459016393442624,10.544990293110057
23,ALK,46,14,pos_change,m1,3.4562539833924224,0.7666666666666667,0,0.0,0,0.06885245901639345,0.9639344262295082,0.33934426229508197,3.4377049180327868,11.35626308828939
24,KSU,49,11,pos_change,m1,2.8421006995020135,0.8166666666666667,KSU,2098.0,27.62%,0.22459016393442624,0.8491803278688524,0.6819672131147541,3.90327868852459,12.66026675232715
25,COST,50,10,pos_change,m1,2.143616845728958,0.8333333333333334,COST,18118.0,20.60%,0.32295081967213113,0.40327868852459015,0.9049180327868852,3.083606557377049,10.718084228644793
26,CCL,50,9,pos_change,m1,2.2568982293734576,0.847457627118644,CCL,78612.0,50.62%,0.38688524590163936,0.4852459016393443,0.980327868852459,3.5967213114754104,12.538323496519206
27,MCK,52,8,pos_change,m1,2.1577196766134374,0.8666666666666667,0,0.0,0,0.5754098360655737,0.419672131147541,0.33934426229508197,3.3245901639344257,14.025177897987346
28,JNJ,53,4,pos_change,m1,1.5604066389843492,0.9298245614035088,JNJ,7984.0,15.28%,0.9016393442622951,0.022950819672131147,0.8327868852459016,3.6065573770491803,20.675387966542626
29,BDX,52,8,pos_change,m1,2.0260878813276717,0.8666666666666667,BDX,2259.0,20.32%,0.5754098360655737,0.29180327868852457,0.7049180327868853,3.30655737704918,13.169571228629868
30,CAH,56,4,pos_change,m1,2.219784537116115,0.9333333333333333,CAH,3870.0,29.29%,0.9278688524590164,0.45901639344262296,0.7704918032786885,4.9311475409836065,31.076983519625617
31,MAA,55,5,pos_change,m1,1.847280888633694,0.9166666666666666,0,0.0,0,0.8704918032786885,0.14754098360655737,0.33934426229508197,3.393442622950819,20.320089774970626
32,TYL,45,15,pos_change,m1,3.0265677492511314,0.75,0,0.0,0,0.029508196721311476,0.9147540983606557,0.33934426229508197,3.1721311475409832,9.079703247753393
33,GWW,53,7,pos_change,m1,2.3966082993545785,0.8833333333333333,0,0.0,0,0.6885245901639344,0.5901639344262295,0.33934426229508197,4.175409836065574,18.14574855225609
34,CAT,52,8,pos_change,m1,2.244456529064613,0.8666666666666667,CAT,25690.0,24.62%,0.5754098360655737,0.4786885245901639,0.9311475409836065,4.093442622950819,14.588967438919989
35,LUV,50,10,pos_change,m1,2.8643952471701772,0.8333333333333334,LUV,4883.0,30.79%,0.32295081967213113,0.8688524590163934,0.7901639344262295,4.365573770491803,14.32197623585089
36,MAS,47,13,pos_change,m1,2.7414138768283394,0.7833333333333333,0,0.0,0,0.11147540983606558,0.7901639344262295,0.33934426229508197,3.0442622950819667,9.911265554687073
37,PH,50,10,pos_change,m1,2.494179891944784,0.8333333333333334,0,0.0,0,0.32295081967213113,0.6688524590163935,0.33934426229508197,3.3147540983606554,12.470899459723926
38,AFL,49,9,pos_change,m1,2.0374912871489888,0.8448275862068966,0,0.0,0,0.3704918032786885,0.3016393442622951,0.33934426229508197,2.355737704918033,11.093008118922274
39,IEX,52,7,pos_change,m1,2.027678091125359,0.8813559322033898,0,0.0,0,0.6557377049180327,0.29508196721311475,0.33934426229508197,3.191803278688525,15.062751534074094
40,GLW,45,14,pos_change,m1,2.7163125482602286,0.7627118644067796,0,0.0,0,0.04590163934426229,0.780327868852459,0.33934426229508197,2.8180327868852455,8.731004619407877
41,MSI,52,8,pos_change,m1,2.3397171439008484,0.8666666666666667,0,0.0,0,0.5754098360655737,0.5442622950819672,0.33934426229508197,3.698360655737705,15.208161435355517
42,ECL,51,8,pos_change,m1,1.8232636270167102,0.864406779661017,0,0.0,0,0.519672131147541,0.1377049180327869,0.33934426229508197,2.3114754098360653,11.62330562223153
43,O,53,6,pos_change,m1,1.845063055987272,0.8983050847457628,0,0.0,0,0.7557377049180328,0.14426229508196722,0.33934426229508197,3.0393442622950824,16.298056994554244
44,HD,52,8,pos_change,m1,1.9823703054931803,0.8666666666666667,HD,25414.0,23.71%,0.5754098360655737,0.24918032786885247,0.9278688524590164,3.401639344262295,12.885406985705675
45,IFF,55,5,pos_change,m1,2.063594262767687,0.9166666666666666,0,0.0,0,0.8704918032786885,0.32786885245901637,0.33934426229508197,3.9344262295081966,22.699536890444545
46,LMT,50,8,pos_change,m1,1.9982322888253592,0.8620689655172413,0,0.0,0,0.4934426229508197,0.26229508196721313,0.33934426229508197,2.606557377049181,12.48895180515849
47,INCY,41,17,pos_change,m1,4.720499429642957,0.7068965517241379,0,0.0,0,0.003278688524590164,1.0,0.33934426229508197,3.3491803278688526,11.38473391855066
48,CPB,53,6,pos_change,m1,1.7208559279841529,0.8983050847457628,0,0.0,0,0.7557377049180328,0.07868852459016394,0.33934426229508197,2.8426229508196723,15.200894030526692
49,DTE,52,8,pos_change,m1,1.6637501583661132,0.8666666666666667,0,0.0,0,0.5754098360655737,0.05245901639344262,0.33934426229508197,2.222950819672131,10.814376029379737
50,HST,50,9,pos_change,m1,2.594222294254926,0.847457627118644,0,0.0,0,0.38688524590163936,0.7180327868852459,0.33934426229508197,3.6540983606557376,14.41234607919403
51,PVH,47,8,pos_change,m1,3.082160180304845,0.8545454545454545,0,0.0,0,0.4737704918032787,0.9278688524590164,0.33934426229508197,4.5442622950819676,18.107691059290957
52,ZBRA,52,8,pos_change,m1,3.0202597418092774,0.8666666666666667,0,0.0,0,0.5754098360655737,0.9114754098360656,0.33934426229508197,4.8,19.631688321760308
53,MRO,55,5,pos_change,m1,2.796963865758824,0.9166666666666666,MRO,21384.0,53.77%,0.8704918032786885,0.8229508196721311,0.9147540983606557,5.995081967213115,30.76660252334705
54,PCAR,50,10,pos_change,m1,2.785537768064838,0.8333333333333334,0,0.0,0,0.32295081967213113,0.8098360655737705,0.33934426229508197,3.7377049180327866,13.927688840324194
55,BIIB,42,13,pos_change,m1,2.935480725941253,0.7636363636363637,0,0.0,0,0.04918032786885246,0.8885245901639345,0.33934426229508197,3.1524590163934425,9.483860806887128
56,XEL,52,8,pos_change,m1,1.539774418025368,0.8666666666666667,0,0.0,0,0.5754098360655737,0.01639344262295082,0.33934426229508197,2.1147540983606556,10.008533717164896
57,HFC,51,7,pos_change,m1,2.9335971869838513,0.8793103448275862,0,0.0,0,0.639344262295082,0.8852459016393442,0.33934426229508197,4.913114754098361,21.373350933739484
58,ETR,51,9,pos_change,m1,1.820973818628945,0.85,0,0.0,0,0.4344262295081967,0.13442622950819672,0.33934426229508197,2.0459016393442626,10.318851638897353
59,TFC,55,4,pos_change,m1,1.9476875210553215,0.9322033898305084,0,0.0,0,0.9131147540983606,0.21967213114754097,0.33934426229508197,3.7377049180327866,26.780703414510654
60,MMC,50,10,pos_change,m1,2.0074251640994696,0.8333333333333334,0,0.0,0,0.32295081967213113,0.2721311475409836,0.33934426229508197,2.1245901639344265,10.03712582049735
61,ETN,56,4,pos_change,m1,2.2189457983368706,0.9333333333333333,0,0.0,0,0.9278688524590164,0.4557377049180328,0.33934426229508197,4.49016393442623,31.065241176716196
62,MMM,50,10,pos_change,m1,1.7665110391258636,0.8333333333333334,MMM,3080.0,17.58%,0.32295081967213113,0.10491803278688525,0.7344262295081967,2.0180327868852457,8.83255519562932
63,PENN,52,6,pos_change,m1,2.799058152012314,0.896551724137931,PENN,38175.0,61.14%,0.740983606557377,0.8295081967213115,0.9573770491803278,5.668852459016393,24.258503984106724
64,CVX,55,5,pos_change,m1,1.8788484039592184,0.9166666666666666,CVX,15480.0,25.87%,0.8704918032786885,0.1737704918032787,0.8918032786885246,4.024590163934427,20.66733244355139
65,GD,47,11,pos_change,m1,1.9914257630157735,0.8103448275862069,0,0.0,0,0.17868852459016393,0.25573770491803277,0.33934426229508197,1.6426229508196721,8.508819169249211
66,TGT,48,12,pos_change,m1,2.248569135459557,0.8,TGT,12273.0,29.95%,0.14918032786885246,0.4819672131147541,0.8885245901639345,2.781967213114754,8.99427654183823
67,GIS,55,5,pos_change,m1,1.5796573927600956,0.9166666666666666,0,0.0,0,0.8704918032786885,0.03278688524590164,0.33934426229508197,3.0491803278688527,17.376231320361043
68,CERN,44,16,pos_change,m1,2.6189435542925317,0.7333333333333333,0,0.0,0,0.009836065573770493,0.7278688524590164,0.33934426229508197,2.552459016393443,7.20209477430446
69,ROK,53,7,pos_change,m1,2.7979150106626793,0.8833333333333333,0,0.0,0,0.6885245901639344,0.8262295081967214,0.33934426229508197,4.88360655737705,21.184213652160278
70,LH,56,4,pos_change,m1,2.14046276114879,0.9333333333333333,0,0.0,0,0.9278688524590164,0.39672131147540984,0.33934426229508197,4.313114754098361,29.96647865608307
71,PSA,49,10,pos_change,m1,1.9503059149083983,0.8305084745762712,0,0.0,0,0.27704918032786885,0.2262295081967213,0.33934426229508197,1.8491803278688523,9.556498983051153
72,DE,50,10,pos_change,m1,2.7263044878387355,0.8333333333333334,DE,8373.0,30.77%,0.32295081967213113,0.7868852459016393,0.839344262295082,4.168852459016393,13.631522439193681
73,TMO,50,10,pos_change,m1,2.3686779152690414,0.8333333333333334,0,0.0,0,0.32295081967213113,0.580327868852459,0.33934426229508197,3.0491803278688527,11.84338957634521
74,STZ,52,8,pos_change,m1,2.468880913895657,0.8666666666666667,0,0.0,0,0.5754098360655737,0.6524590163934426,0.33934426229508197,4.022950819672131,16.047725940321772
75,ORLY,50,9,pos_change,m1,2.344616210088843,0.847457627118644,0,0.0,0,0.38688524590163936,0.5606557377049181,0.33934426229508197,3.1819672131147545,13.02564561160468
76,STT,53,7,pos_change,m1,2.4346613948173492,0.8833333333333333,0,0.0,0,0.6885245901639344,0.6163934426229508,0.33934426229508197,4.254098360655738,18.43386484647421
77,JKHY,46,14,pos_change,m1,2.554575941718582,0.7666666666666667,0,0.0,0,0.06885245901639345,0.6983606557377049,0.33934426229508197,2.640983606557377,8.393606665646772
78,ATO,52,7,pos_change,m1,1.9721326869116882,0.8813559322033898,0,0.0,0,0.6557377049180327,0.23934426229508196,0.33934426229508197,3.024590163934426,14.650128531343967
79,AMGN,44,13,pos_change,m1,2.1190105987931536,0.7719298245614035,0,0.0,0,0.08852459016393442,0.3737704918032787,0.33934426229508197,1.7262295081967214,7.172035872838364
80,TJX,52,8,pos_change,m1,2.468764729252816,0.8666666666666667,0,0.0,0,0.5754098360655737,0.6491803278688525,0.33934426229508197,4.0131147540983605,16.04697074014331
81,AOS,49,10,pos_change,m1,2.1354731722862965,0.8305084745762712,0,0.0,0,0.27704918032786885,0.3901639344262295,0.33934426229508197,2.3409836065573773,10.463818544202853
82,D,49,11,pos_change,m1,1.6605347053417572,0.8166666666666667,0,0.0,0,0.22459016393442624,0.04918032786885246,0.33934426229508197,1.160655737704918,7.396927323795099
83,BK,46,11,pos_change,m1,2.5774711333013713,0.8070175438596491,0,0.0,0,0.16885245901639345,0.7081967213114754,0.33934426229508197,2.970491803278688,10.778515648351187
84,ADBE,51,9,pos_change,m1,2.896010570758751,0.85,ADBE,12239.0,25.37%,0.4344262295081967,0.8786885245901639,0.8852459016393442,4.824590163934426,16.410726567632917
85,J,54,6,pos_change,m1,2.707986935754888,0.9,0,0.0,0,0.7934426229508197,0.7704918032786885,0.33934426229508197,5.031147540983607,24.371882421793998
86,CSCO,49,11,pos_change,m1,2.4652568259072645,0.8166666666666667,CSCO,59481.0,27.56%,0.22459016393442624,0.6426229508196721,0.9737704918032787,3.5754098360655737,10.981598588132359
87,BLL,53,7,pos_change,m1,2.2311081237742423,0.8833333333333333,0,0.0,0,0.6885245901639344,0.4721311475409836,0.33934426229508197,3.8213114754098365,16.892675794290685
88,ADM,46,9,pos_change,m1,2.0638609013454565,0.8363636363636363,ADM,2144.0,21.39%,0.3622950819672131,0.33114754098360655,0.6885245901639344,2.768852459016393,10.548622384654552
89,AME,50,10,pos_change,m1,2.460936408381727,0.8333333333333334,0,0.0,0,0.32295081967213113,0.639344262295082,0.33934426229508197,3.226229508196721,12.304682041908638
90,MKC,57,3,pos_change,m1,1.9060038497592187,0.95,0,0.0,0,0.9639344262295082,0.18360655737704917,0.33934426229508197,3.781967213114754,36.21407314542512
91,LLY,57,3,pos_change,m1,1.9718449454526183,0.95,LLY,2882.0,26.33%,0.9639344262295082,0.2360655737704918,0.7245901639344262,4.324590163934427,37.465053963599715
92,XOM,51,9,pos_change,m1,1.9373308876547726,0.85,XOM,54318.0,28.78%,0.4344262295081967,0.20655737704918034,0.9672131147540983,2.8901639344262295,10.978208363377043
93,TSN,52,8,pos_change,m1,2.488804893621111,0.8666666666666667,0,0.0,0,0.5754098360655737,0.6622950819672131,0.33934426229508197,4.052459016393443,16.177231808537226
94,RCL,55,3,pos_change,m1,2.6102004683155267,0.9482758620689655,RCL,8846.0,45.88%,0.9426229508196722,0.7245901639344262,0.8557377049180328,5.857377049180329,47.85367525245133
95,UNM,53,7,pos_change,m1,2.532751453450709,0.8833333333333333,0,0.0,0,0.6885245901639344,0.6885245901639344,0.33934426229508197,4.470491803278689,19.176546718983936
96,VNO,56,2,pos_change,m1,2.007884466291469,0.9655172413793104,0,0.0,0,0.980327868852459,0.2754098360655738,0.33934426229508197,4.10655737704918,56.220765056161206
97,AVY,51,8,pos_change,m1,2.2087094013096653,0.864406779661017,0,0.0,0,0.519672131147541,0.4459016393442623,0.33934426229508197,3.2360655737704915,14.080522433349119
98,HOLX,45,15,pos_change,m1,3.307257463882358,0.75,0,0.0,0,0.029508196721311476,0.9540983606557377,0.33934426229508197,3.2901639344262295,9.921772391647075
99,COF,48,10,pos_change,m1,2.5067089820947626,0.8275862068965517,0,0.0,0,0.2639344262295082,0.6786885245901639,0.33934426229508197,3.167213114754098,12.03220311405486
